"pid";"progress";"startdate";"enddate";"condition";"clicks_p1";"clicks_p2";"clicks_p3";"success";"open";"age";"gender";"language";"neopir_1";"neopir_2";"neopir_3";"neopir_4";"neopir_5";"neopir_6";"neopir_7";"neopir_8";"neopir_9";"neopir_10";"neopir_11";"neopir_12";"neopir_13";"neopir_14";"neopir_15";"neopir_16";"neopir_17";"neopir_18";"neopir_19";"neopir_20"
1;100;2020-08-26 11:04:35;2020-08-26 11:04:47;"music";6;1;1;0;"happened happened his man Mr. back back depicts by forces who away he his";27;"Mann";"Deutsch";3;4;4;3;2;3;1;7;4;4;4;7;7;6;4;4;3;6;3;3
2;100;2020-08-26 11:21:20;2020-08-26 11:21:57;"music";4;5;4;0;"he of an tricks back Harry Mr. man he his the";22;"Frau";"English";2;7;3;3;4;1;5;4;3;3;4;4;3;1;2;4;1;5;3;1
3;100;2020-08-26 10:55:25;2020-08-26 10:55:45;"music";3;4;0;1;"customer forced who back what Brownstone his realizes happened Mr. without by back charter Johnson activity";25;"Frau";"Italienisch";4;2;1;6;2;4;5;2;1;7;7;5;7;2;2;5;2;4;6;2
4;100;2020-08-26 11:47:34;2020-08-26 11:47:55;"music";7;5;2;1;"mainland the his beyond who into the the is flees customer I who she flees activity economic to good";26;"Frau";NA;7;4;6;1;1;3;7;5;2;2;4;3;4;5;4;7;2;1;4;6
5;100;2020-08-26 11:35:38;2020-08-26 11:36:16;"silence";10;2;4;0;"any an who Mr. his has charter fishing by then by airplane depicts has slipping";22;"Mann";"English";4;3;7;7;2;2;6;4;7;7;2;5;2;4;3;6;4;5;2;1
6;100;2020-08-26 11:49:14;2020-08-26 11:49:30;"silence";2;2;1;1;"control money depicts who control him essentially beyond tricks flees him";26;"Mann";"Italienisch";3;3;3;4;1;3;2;4;6;7;1;5;6;3;6;2;4;4;4;3
7;100;2020-08-26 11:41:54;2020-08-26 11:42:28;"silence";1;2;0;1;"what back fishing tricks has Mark Brownstone flees paying him airplane without";20;"Mann";"Französisch";1;7;3;1;7;5;6;4;2;7;4;3;5;7;6;5;2;5;3;4
8;100;2020-08-26 11:12:43;2020-08-26 11:12:47;"silence";3;3;0;1;"money before control he Brownstone I Brownstone customer away he";19;"Mann";"Deutsch";3;3;6;5;3;2;1;3;7;4;5;2;6;3;5;2;4;4;2;7
9;100;2020-08-26 11:31:36;2020-08-26 11:31:43;"music";3;2;4;0;"an I his him owes then flees forces to control away is he";20;"Frau";"Deutsch";7;6;5;2;4;7;3;3;6;4;6;1;5;1;2;4;3;1;5;6
10;100;2020-08-26 10:41:30;2020-08-26 10:41:30;"silence";1;2;0;1;"flees blackmarket novel the flees paying Johnson flees by airplane by flees flees good happened what flees the the good";25;"Mann";"Französisch";7;5;1;7;2;5;4;4;4;5;4;7;6;6;3;1;6;7;4;3
11;100;2020-08-26 11:39:22;2020-08-26 11:39:48;"music";4;2;3;0;"I by of his owes who she I is Mr. his away initially activity Harry money Brownstone who";24;"Mann";"Italienisch";1;1;5;7;1;3;2;7;5;5;5;5;2;2;7;3;6;5;5;4
12;96;2020-08-26 11:50:33;2020-08-26 11:50:55;"silence";NA;4;3;1;NA;23;NA;NA;3;7;7;4;4;7;7;5;3;5;6;4;2;3;2;3;4;7;3;3
13;92;2020-08-26 11:06:17;2020-08-26 11:07:03;"music";NA;1;5;1;NA;23;NA;NA;3;2;1;5;7;2;3;5;3;5;1;4;7;3;2;4;7;4;5;6
14;100;2020-08-26 10:36:02;2020-08-26 10:36:26;"silence";2;1;3;0;"activity forced paying before the slipping realizes him without he the into essentially is is into";23;"Frau";"Italienisch";5;3;5;7;6;6;5;6;6;4;7;1;6;6;7;1;4;6;1;3
15;100;2020-08-26 10:50:45;2020-08-26 10:51:30;"music";1;1;5;1;"of without activity of blackmarket of customer mainland Johnson forces she realizes";22;"Mann";"Italienisch";6;3;7;5;4;3;2;2;6;1;7;6;6;6;1;3;1;3;7;3
16;100;2020-08-26 11:00:35;2020-08-26 11:01:29;"music";6;1;0;0;"economic by money flees without forced Mark paying his customer charter";25;"Frau";"Französisch";4;3;1;4;7;6;7;1;6;4;7;3;2;5;6;2;2;5;1;6
17;100;2020-08-26 11:57:05;2020-08-26 11:57:22;"silence";5;2;0;1;"good his Johnson what back away has back control has by has without as him forced depicts I";19;"Frau";"Französisch";7;7;6;1;2;3;6;6;6;6;7;2;6;5;3;4;3;4;3;2
18;100;2020-08-26 11:27:23;2020-08-26 11:27:54;"silence";2;5;2;1;"forces by by to the good airplane he Mark his airplane without control before beyond I Brownstone to forces";26;"Frau";"Italienisch";5;1;7;4;5;6;3;6;7;1;1;7;4;1;6;5;7;2;2;2
19;100;2020-08-26 10:57:35;2020-08-26 10:57:48;"silence";10;6;3;1;"he fishing him tricks without initially Harry his economic then what his airplane money man beyond control Brownstone";22;"Frau";"English";6;4;7;6;7;1;7;7;4;2;2;3;1;2;4;6;7;6;6;2
20;100;2020-08-26 11:40:38;2020-08-26 11:41:14;"silence";2;1;3;1;"Brownstone then economic without before essentially mainland Harry flees airplane the Johnson";27;"Mann";"Französisch";1;2;3;7;7;1;6;4;3;5;4;5;5;5;4;3;4;2;2;2
21;100;2020-08-26 10:34:54;2020-08-26 10:35:03;"music";7;6;1;1;"economic any happened without Mr. tricks customer happened control he paying I into without what any";21;"Mann";"Französisch";3;3;1;5;2;1;4;7;3;6;6;3;5;4;5;5;7;5;1;3
22;100;2020-08-26 11:21:22;2020-08-26 11:21:32;"music";4;3;3;0;"owes Brownstone Johnson who slipping back Mr. away the blackmarket before I";29;"Mann";"Französisch";3;2;6;4;4;4;4;3;7;3;2;5;1;2;2;1;2;1;7;4
23;92;2020-08-26 11:54:00;2020-08-26 11:54:30;"music";NA;6;0;0;NA;26;NA;NA;7;5;6;7;7;4;6;1;4;3;5;3;4;1;2;1;7;3;6;3
24;86;2020-08-26 11:19:06;2020-08-26 11:19:32;"music";NA;2;5;1;NA;21;NA;NA;5;2;1;4;3;6;2;7;3;2;3;1;3;4;7;7;1;7;1;3
25;100;2020-08-26 11:58:38;2020-08-26 11:59:07;"music";9;5;4;0;"Mark good airplane to charter I the paying the Mark to Harry Johnson owes away Brownstone an his blackmarket";21;"Frau";"Italienisch";7;7;6;5;3;1;3;7;5;5;1;3;6;6;5;1;5;1;6;4
26;100;2020-08-26 12:10:23;2020-08-26 12:10:49;"silence";2;4;5;0;"man Johnson by fishing an then initially mainland is she man";21;"Frau";"Deutsch";2;1;4;7;4;7;6;6;2;1;5;5;1;4;6;6;1;1;7;2
27;100;2020-08-26 10:59:16;2020-08-26 10:59:33;"music";3;2;2;1;"forces Brownstone beyond away Brownstone mainland mainland he is by away what the without back of";17;"Frau";"Italienisch";7;3;5;2;7;5;1;7;5;7;4;3;2;7;5;1;4;4;4;3
28;100;2020-08-26 10:59:38;2020-08-26 11:00:02;"music";6;1;0;1;"the Mark happened what forces Harry activity essentially blackmarket who";26;"Mann";NA;6;3;5;7;6;7;3;2;7;2;5;2;4;7;4;3;1;1;7;3
29;100;2020-08-26 11:05:21;2020-08-26 11:06:10;"music";9;1;0;0;"paying essentially as fishing the as control by owes paying depicts";27;"Frau";"Deutsch";7;4;4;2;6;5;1;5;2;3;4;3;7;1;1;7;2;5;4;5
30;100;2020-08-26 11:39:59;2020-08-26 11:40:24;"music";3;1;1;0;"man flees Mr. tricks Mr. money him economic without his mainland customer";23;"Frau";"Französisch";1;4;5;1;7;6;4;5;4;5;6;6;5;5;7;5;7;1;5;4
31;100;2020-08-26 11:47:20;2020-08-26 11:47:25;"silence";4;1;4;1;"forced fishing fishing the Mark initially Mark airplane who the";24;"Frau";"English";5;5;4;5;6;1;5;4;7;4;1;7;7;3;6;6;4;6;6;1
32;100;2020-08-26 11:56:19;2020-08-26 11:56:31;"silence";7;1;3;1;"away him essentially charter fishing novel any before good to blackmarket economic I of mainland economic by slipping I";21;"Frau";"Deutsch";7;5;4;7;4;2;5;5;3;7;2;5;2;4;1;4;6;5;4;5
33;100;2020-08-26 11:58:29;2020-08-26 11:58:37;"silence";7;1;5;0;"before charter the depicts blackmarket man has then what man fishing back depicts any";23;"Frau";"Deutsch";3;5;4;3;4;3;6;5;7;6;7;1;1;2;1;1;4;6;3;6
34;100;2020-08-26 11:53:07;2020-08-26 11:53:18;"silence";10;1;0;1;"paying money away has of initially Harry tricks Mr. good then";20;"Frau";"Deutsch";2;4;7;6;1;1;6;7;4;7;1;4;7;6;3;5;6;2;4;2
35;100;2020-08-26 11:49:51;2020-08-26 11:49:57;"music";2;1;0;1;"then forced to man fishing depicts depicts customer owes essentially Mr. his";28;"Mann";NA;7;6;5;2;2;3;7;1;5;6;6;6;6;1;1;1;7;7;1;5
36;100;2020-08-26 11:31:13;2020-08-26 11:31:27;"silence";10;5;0;1;"then flees mainland slipping activity to his paying Mr. flees beyond novel";21;"Mann";"Französisch";4;6;6;5;5;1;5;7;7;1;4;5;5;1;2;1;3;5;3;6
37;100;2020-08-26 11:05:59;2020-08-26 11:06:34;"music";10;1;2;0;"initially of owes by away Harry forces of paying him has charter money blackmarket Mr. who his who control";24;"Frau";"Italienisch";7;6;7;6;6;2;5;5;2;4;6;1;7;3;7;5;6;7;7;2
38;100;2020-08-26 11:09:52;2020-08-26 11:10:27;"silence";4;4;5;0;"owes money an before Johnson good by customer fishing of I";26;"Frau";"Italienisch";4;7;3;2;1;6;6;1;4;3;6;6;1;4;3;3;4;5;6;6
39;100;2020-08-26 11:37:05;2020-08-26 11:37:26;"silence";10;2;4;1;"beyond his is Mr. mainland essentially has him then realizes Harry by before paying the the I as airplane";24;"Mann";"Italienisch";2;2;6;2;2;5;5;6;5;1;2;4;3;7;6;3;5;6;7;4
40;100;2020-08-26 12:07:42;2020-08-26 12:07:56;"silence";4;3;3;1;"economic Brownstone the fishing away forces depicts as money an by into away";24;"Mann";"Französisch";4;6;6;5;7;6;4;4;7;1;1;1;2;6;7;2;5;4;4;1
41;100;2020-08-26 12:08:14;2020-08-26 12:08:27;"music";4;1;0;0;"has airplane by who blackmarket him what without by owes economic novel activity his Mr. he depicts without";20;"Frau";NA;2;4;2;6;6;7;2;1;2;4;5;2;1;4;2;1;5;3;6;2
42;100;2020-08-26 10:41:04;2020-08-26 10:41:35;"music";1;3;5;0;"mainland realizes depicts Brownstone I of initially away depicts blackmarket the by who Mr. good his realizes man paying";28;"Frau";"Deutsch";3;1;1;7;1;5;5;4;6;5;1;3;5;2;3;5;5;4;6;5
43;100;2020-08-26 11:07:17;2020-08-26 11:07:45;"silence";7;4;1;0;"without the without the Mark charter Mark man of economic then his any the without depicts";20;"Frau";"English";4;6;5;2;1;1;1;2;7;3;2;6;6;3;5;5;6;1;3;5
44;100;2020-08-26 12:01:21;2020-08-26 12:01:53;"silence";4;1;0;0;"by economic fishing by is good money he his Johnson";21;"Mann";"Deutsch";5;5;4;4;7;1;2;7;7;3;6;4;3;7;7;2;6;7;4;5
45;65;2020-08-26 11:01:45;2020-08-26 11:02:11;"silence";NA;2;0;0;NA;27;NA;NA;7;3;2;7;1;4;2;5;3;4;2;2;5;7;3;6;3;1;1;6
46;80;2020-08-26 10:48:34;2020-08-26 10:49:08;"silence";NA;3;0;0;NA;26;NA;NA;7;3;2;1;6;1;1;7;6;3;1;6;3;5;4;5;2;6;4;4
47;100;2020-08-26 11:41:41;2020-08-26 11:42:13;"silence";2;1;1;0;"Brownstone without by his him the he any forced he an economic";20;"Mann";"Französisch";2;7;5;6;5;6;4;7;5;2;1;3;3;6;5;6;1;1;5;7
48;100;2020-08-26 12:08:53;2020-08-26 12:09:27;"silence";5;4;1;1;"back the she Brownstone has his customer happened beyond has of depicts";22;"Frau";"Französisch";4;1;7;3;5;6;2;5;5;7;1;2;5;1;6;5;6;1;1;7
49;81;2020-08-26 12:13:43;2020-08-26 12:14:16;"silence";NA;6;2;1;NA;23;NA;NA;7;5;1;1;5;7;2;1;6;3;4;7;2;4;4;6;1;7;5;2
50;100;2020-08-26 11:40:05;2020-08-26 11:40:55;"music";3;4;0;0;"what the then before Brownstone who Mark mainland charter who Mark Mr. beyond him man initially Mr. good";22;"Frau";"Französisch";5;7;6;5;7;7;5;4;5;1;6;7;1;2;1;3;2;2;3;2
51;100;2020-08-26 11:44:34;2020-08-26 11:44:43;"silence";10;1;0;0;"beyond essentially customer what by good his control by by he tricks Brownstone happened Mr. who his forces by";19;"Frau";"Italienisch";6;5;3;6;5;3;5;3;1;5;4;4;1;4;2;5;1;5;6;2
52;96;2020-08-26 11:40:44;2020-08-26 11:41:32;"music";NA;2;3;1;NA;30;NA;NA;7;3;4;1;6;7;1;6;6;6;4;1;5;5;3;6;3;7;4;5
53;100;2020-08-26 11:26:52;2020-08-26 11:27:12;"silence";1;2;1;0;"away economic flees an forced beyond away is Johnson Mr. by blackmarket";21;"Frau";"English";2;1;2;7;4;5;7;3;2;4;3;2;3;4;4;4;2;3;3;4
54;100;2020-08-26 10:06:22;2020-08-26 10:06:46;"silence";10;1;3;0;"airplane he his of he he beyond the then to essentially away fishing activity good an Brownstone without";17;"Frau";"Französisch";5;3;6;3;7;7;7;7;1;6;6;2;6;2;2;1;7;6;2;2
55;100;2020-08-26 11:45:33;2020-08-26 11:45:59;"silence";8;5;2;1;"away Mark before of of Brownstone Mr. Mr. mainland economic economic";18;"Frau";"Deutsch";2;5;7;6;2;3;7;1;7;2;5;7;7;4;4;2;4;2;7;4
56;100;2020-08-26 11:17:54;2020-08-26 11:18:13;"silence";6;2;3;1;"what customer Mark happened happened Mr. beyond into forces who depicts mainland Johnson control who";25;"Mann";"Deutsch";4;3;3;6;7;4;6;3;2;1;5;3;3;3;3;5;3;2;2;2
57;100;2020-08-26 11:51:32;2020-08-26 11:51:45;"music";1;4;1;0;"away is into back flees essentially he any blackmarket as happened his airplane his back beyond to happened";23;"Frau";"Französisch";5;4;7;4;2;4;2;7;7;7;2;2;7;7;1;4;4;1;1;1
58;100;2020-08-26 11:12:15;2020-08-26 11:12:35;"silence";7;5;4;0;"the depicts novel the money who flees him him Johnson paying fishing happened before mainland by economic";19;"Frau";"Französisch";5;6;3;2;2;4;4;5;4;5;2;2;1;3;1;5;4;2;7;3
59;100;2020-08-26 10:48:04;2020-08-26 10:48:30;"music";5;1;0;0;"who him he charter his into he Mr. before of economic happened charter man he Johnson beyond into away forced";24;"Mann";"Italienisch";6;4;2;7;5;1;5;4;7;4;5;3;3;2;1;3;2;2;7;3
60;100;2020-08-26 11:57:11;2020-08-26 11:57:12;"music";1;1;0;0;"the the beyond flees beyond of his Mr. by initially into blackmarket back realizes before";18;"Mann";NA;6;4;5;4;1;3;1;1;5;4;5;7;2;7;4;3;2;4;4;6
61;100;2020-08-26 11:31:39;2020-08-26 11:32:12;"music";1;1;0;0;"then his good Brownstone blackmarket novel blackmarket has Mark who novel he him slipping";23;"Frau";"Deutsch";1;2;7;2;5;6;1;2;3;7;3;4;2;7;4;4;6;5;6;7
62;100;2020-08-26 12:51:11;2020-08-26 12:51:27;"silence";3;1;5;1;"depicts has without Johnson Johnson Mark who charter to beyond forced forces by realizes forces Brownstone man good owes";22;"Frau";"English";6;6;6;1;1;4;5;1;4;3;6;5;6;5;2;3;1;7;3;6
63;100;2020-08-26 11:49:16;2020-08-26 11:50:03;"silence";6;1;0;1;"good paying good who who without is he him the";28;"Frau";"Italienisch";7;4;1;1;6;7;3;4;6;2;3;1;6;1;2;4;1;2;5;7
64;100;2020-08-26 11:52:28;2020-08-26 11:52:57;"silence";6;1;0;1;"his novel by charter who realizes back airplane slipping any the activity his fishing charter is beyond him";21;"Frau";"Deutsch";4;1;3;5;3;4;2;5;7;3;4;3;6;1;6;6;3;5;7;2
65;100;2020-08-26 11:45:38;2020-08-26 11:45:51;"silence";3;1;0;0;"without as beyond his Brownstone realizes by before she Brownstone him as flees control him economic I what paying";22;"Mann";"Italienisch";2;2;2;7;2;4;7;4;3;1;1;5;1;6;6;5;5;4;6;4
66;80;2020-08-26 11:12:49;2020-08-26 11:13:16;"silence";NA;1;0;1;NA;30;NA;NA;5;2;6;2;4;7;1;2;3;4;1;5;5;5;1;4;4;2;4;5
67;100;2020-08-26 11:18:24;2020-08-26 11:18:53;"silence";10;6;3;1;"activity customer the away Johnson his flees owes blackmarket forced forces essentially by forced then";20;"Mann";"Französisch";1;3;2;6;7;2;4;2;6;3;4;4;1;5;7;4;1;3;2;6
68;100;2020-08-26 11:52:44;2020-08-26 11:53:23;"music";10;1;0;0;"an beyond by novel good fishing control away charter to";28;"Mann";"Deutsch";2;5;1;3;3;4;2;1;4;4;6;3;7;6;2;3;6;3;4;6
69;100;2020-08-26 11:52:37;2020-08-26 11:53:00;"silence";1;1;0;1;"Johnson by back charter away an beyond any control the the the activity customer Mr. happened forces control she Mark";25;"Frau";"Französisch";3;3;6;1;3;5;4;1;6;7;1;1;5;3;3;4;1;4;2;3
70;100;2020-08-26 11:41:17;2020-08-26 11:41:23;"music";2;1;2;0;"is away Mark who before owes of has the Brownstone of beyond an good by has economic then";31;"Mann";"Deutsch";2;1;5;1;6;5;2;5;5;2;2;2;1;3;5;5;7;3;7;5
71;100;2020-08-26 11:03:37;2020-08-26 11:03:43;"silence";6;1;0;0;"him good has he he happened money back to to is him airplane";23;"Frau";"Deutsch";5;6;4;6;4;4;1;1;7;5;2;4;1;3;5;1;5;4;4;6
72;100;2020-08-26 12:07:44;2020-08-26 12:07:56;"music";2;1;3;1;"by activity by to beyond flees before his what charter depicts Johnson";22;"Mann";"Italienisch";2;6;2;1;1;6;5;6;5;1;3;5;7;5;6;5;5;2;6;1
73;100;2020-08-26 10:54:30;2020-08-26 10:55:01;"silence";2;1;4;1;"him by control flees Mr. by by away I man Brownstone of back Mr. paying as Johnson is back the";28;"Frau";NA;1;2;3;1;5;2;3;1;7;1;5;6;5;6;1;5;7;2;6;5
74;100;2020-08-26 11:16:54;2020-08-26 11:17:15;"silence";4;1;4;0;"of good the control Harry as fishing I forced by money Johnson flees him";27;"Frau";"Italienisch";4;5;4;2;1;2;4;3;4;2;1;3;2;3;1;2;7;7;4;6
75;100;2020-08-26 12:23:06;2020-08-26 12:23:22;"silence";8;1;2;1;"happened the any novel forced flees the to before forced to the by mainland mainland";26;"Mann";"Deutsch";3;4;6;4;5;7;2;2;4;4;5;3;7;7;4;1;4;6;4;6
76;100;2020-08-26 11:39:52;2020-08-26 11:40:05;"silence";10;1;0;1;"the mainland who by depicts economic Harry charter is money who by essentially paying by by control customer tricks Brownstone";15;"Mann";"Deutsch";5;1;2;4;7;2;6;1;7;7;7;6;7;2;5;2;5;5;2;3
77;100;2020-08-26 11:50:36;2020-08-26 11:51:03;"music";5;1;2;1;"of the into Harry airplane has to good paying what man what into as";23;"Mann";"Italienisch";5;7;6;7;1;6;1;2;2;4;4;6;5;2;5;3;6;1;6;6
78;100;2020-08-26 11:36:21;2020-08-26 11:36:33;"music";3;4;2;0;"forced Harry charter who I depicts money the economic she customer his him his forced his Johnson paying by";23;"Frau";"English";2;4;1;3;3;5;5;4;1;3;3;5;6;7;3;2;2;6;1;6
79;81;2020-08-26 11:03:24;2020-08-26 11:03:43;"music";NA;6;0;0;NA;22;NA;NA;4;5;7;5;2;5;3;3;2;2;4;3;1;7;5;4;2;5;3;5
80;100;2020-08-26 11:12:57;2020-08-26 11:13:08;"music";5;5;3;0;"Brownstone the him I paying into as happened him the blackmarket";22;"Frau";"Französisch";4;2;6;5;4;7;4;1;2;3;1;1;4;6;2;5;4;1;3;6
81;100;2020-08-26 11:31:16;2020-08-26 11:31:20;"silence";3;5;0;0;"Mr. Mr. away slipping the slipping Brownstone blackmarket away his depicts what depicts what she mainland";19;"Frau";"Deutsch";6;4;2;7;7;4;6;4;6;1;7;1;7;2;2;1;6;3;6;1
82;100;2020-08-26 10:17:01;2020-08-26 10:17:40;"music";10;5;1;0;"airplane airplane his realizes back away an an blackmarket mainland before his good";22;"Mann";"Italienisch";6;5;2;4;4;5;5;4;3;6;5;4;2;7;3;1;5;5;5;7
